lanelet_id, bound, x, y, yaw
110, leftBound, -220.47575, -41.639330, 0.837408 
110, leftBound, -220.10384, -41.304225, 0.837407 
110, leftBound, -219.73193, -40.969119, 0.837395 
110, leftBound, -219.36003, -40.634014, 0.837407 
110, leftBound, -218.98812, -40.298908, 0.837407 
110, leftBound, -218.61621, -39.963802, 0.837408 
110, leftBound, -218.24430, -39.628697, 0.837407 
110, leftBound, -217.87239, -39.293591, 0.837606 
110, leftBound, -217.50041, -38.958556, 0.838517 
110, leftBound, -217.12813, -38.623865, 0.839525 
110, leftBound, -216.75551, -38.289547, 0.840522 
110, leftBound, -216.38256, -37.955603, 0.841530 
110, leftBound, -216.00927, -37.622032, 0.842526 
110, leftBound, -215.63565, -37.288835, 0.843522 
110, leftBound, -215.26170, -36.956012, 0.844534 
110, leftBound, -214.88741, -36.623564, 0.845531 
110, leftBound, -214.51279, -36.291491, 0.846529 
110, leftBound, -214.13784, -35.959793, 0.847540 
110, leftBound, -213.76255, -35.628470, 0.848528 
110, leftBound, -213.38694, -35.297524, 0.849539 
